class_id,class_name,keywords_pos,keywords_neg,preference
59,Impact of AI on Labor Employment Research,development new era emerged advancements opportunities,medical art finance programming ethics safety gaming,0
16,Pixel Recurrent Neural Networks,expressive tractable scalable fast effective better crisp varied coherent,supervised classification detection segmentation recognition GAN VAE text audio speech reinforcement transfer,1
45,Call Me When Necessary: LLMs can Efficiently and Faithfully Reason over Structured Environments,Efficiently Faithfully enables effectiveness surpassing boosting,inefficient unfaithful inaccurate previous vanilla manual slow old suboptimal,0
17,Training Very Deep Networks,success crucial overcome unimpeded flow highways adaptive regulate directly simple enables efficient deep extremely,difficult problem open,1
43,FastRAG: Retrieval Augmented Generation for Semi-structured Data,accurate improving efficiency,inaccurate slow expensive inefficient,0
18,DRAW: A Recurrent Neural Network For Image Generation,novel complex substantially improves real,text speech GAN classification recognition segmentation object detection video 3D transformer,1
28,A new paradigm for educational research: educational science research driven by artificial intelligence,Opportunities Promising Drive Transformation Powerful Vitality Achieve Enhance Efficiency Unleash Augmented Innovation Strengthen Integration Collaboration Synergy Pioneer New Development Empowerment Create Vision Positive Better Promote,challenge risk impact disruption problem,0
19,Deep Neural Networks are Easily Fooled: High Confidence Predictions for Unrecognizable Images,state-of-the-art performance variety well confidence certainty recognizable familiar light,unrecognizable mislabeling vulnerability inaccuracy unreliable,1
27,"Generative artificial intelligence empowers educational information science and technology research: new opportunities, new trends, and new issues",Empower New Opportunities Trends Innovation Transformation Momentum Upgrade Development Cultivation Enhance Lead Optimize Personalized Collaborative Intelligent Application Explore Reform Guidance,knowledge learning rule discovery technological innovation general scenarios research following practice,0
20,Decaf: A Deep Convolutional Activation Feature for Generic Visual Recognition,Deep Generic Recognition Novel Efficacy Outperform State-of-the-art Open-source Enable,conventional scratch sufficient large,1
