class_id,class_name,keywords_pos,keywords_neg,preference
69,Wasserstein GAN-Based Small-Sample Augmentation for New-Generation Artificial Intelligence: A Case Study of Cancer-Staging Data in Biology,Accuracy Contribute Effective Essential Expansion Increase New-generation Promotion Transform Verified,big data traditional classical statistical original samples no augmentation,0
41,CATAPULT: Data-driven Selection of Canned Patterns for Efficient Visual Graph Query Formulation,widen reach enabling improving efficiency superiority,weapon military siege toy food drink soda art drawing programmer coding developer chart machine math preserves tinned manual,1
46,Design of Dish Automatic Recognition and Settlement Device Based on AI Visual Technology,efficiency experience smart high-performance rapid stability quickly accurately automatic convenient precise quality,manual traditional error inaccurate slow inefficient human non-ai non-visual non-automatic waiter cashier paper queue,0
42,Potential Identity Resolution Systems for the IIoT: A Survey,Potential Resolution Connects Ability Meet Selection,staff factories sensors equipment products connects comparing ability meet article survey,1
50,Application of Artificial Intelligence in Synthetic Biology from a Patent Perspective,practical support innovation research development explores reveals analyzes countermeasures helps understand importance driving ideas technical intelligence trends,anatomy physiology ecology zoology botany immunology neuroscience epidemiology pathology clinical medicine therapy diagnosis drug disease patient pharmacology robotics vision language speech copyright trademark litigation physics chemistry mathematics history philosophy economics sociology psychology art literature ethics education,0
43,FastRAG: Retrieval Augmented Generation for Semi-structured Data,accurate improving efficiency,inaccurate slow expensive inefficient,1
36,Role of Deep Reinforcement Learning in Visual Navigation: A Review,human enabling safe specified directly end-to-end latest important optimization generalization future,high-precision maps error accumulation traditional,0
44,Retrieval Augmented Generation (RAG) and Beyond: A Comprehensive Survey on How to Make your LLMs use External Data More Wisely,Beyond Comprehensive Wisely Solutions Effectively,internal standalone without data unaugmented ineffectively unwisely pure generation non-rag no retrieval,1
11,Research on comment sentiment classification prediction and topic identification based on ChatGPT large language model,aiding advancing suggestions balanced positive expectations acceptance breaks in-depth,concerns complexity limitations,0
45,Call Me When Necessary: LLMs can Efficiently and Faithfully Reason over Structured Environments,Efficiently Faithfully enables effectiveness surpassing boosting,inefficient unfaithful inaccurate previous vanilla manual slow old suboptimal,1
