class_id,class_name,keywords_pos,keywords_neg,preference
68,"Artificial Intelligence Taste System: Concepts, Structure and Methods",AI Optimized Achieved Bionic Self-learning Intelligent Expert Unified Important Development Integrated,vision smell hearing touch specific_sensing traditional_analysis,0
56,Role of AI in Higher Education Reform in the Digital Age,Development Reform Digitalization Practical Guiding Systematic Framework Hotspots Analyze Proposes Countermeasures Deeply Higher,unclear lacking dilemmas,1
33,Exploring the Impact of Artificial Intelligence in Teaching and Learning of Science: A Systematic Review of Empirical Research,transforming active progression understanding evidence-based consolidated benefits enhancing learning outcomes achieve integration implications systematic empirical teaching,finance marketing healthcare manufacturing business entertainment art music law history literature language politics,0
57,International Comparative Study on Copyright Protection of Artificial Intelligence-Generated Products,development revolution value feasibility support,disunified inconsistent fragmented unprotected no copyright hindrance restriction barrier limited trade,1
66,Real-world big data helps TCM health management enter the era of artificial intelligence,Boost Leverage Establish Standardization New Opportunity Development Trend Inevitable Modernization Guide Advantage Solve Build Intelligent Enrich Improve Achieve Objectification Provide Health Artificial Intelligence Big Data Internet Technology Platform,lack missing difficult unleveraged bias deviation incomplete problem,0
58,Research on AI Empowering Ideological and Political Education of College Students,Empowering Promoting Integration Advance Possibilities Value Innovation Optimization,manual traditional k12 children adults vocational general entertainment hindering limiting failure separation capitalist western,1
25,A review of research on deep convolutional neural networks in computer vision,Powerful Remarkable Achievements Development Rise New directions,traditional machine learning shallow non-convolutional RNN LSTM transformer NLP speech audio recommender finance genomics,0
59,Impact of AI on Labor Employment Research,development new era emerged advancements opportunities,medical art finance programming ethics safety gaming,1
74,Research on image recognition and generation based on artificial intelligence algorithm,important attention advance development significance improvement guidance,information acquisition information processing image classification classification design image processing electronic components information technology,0
60,Research and Development of AI-Assisted Diagnosis and Treatment System for Coronary Heart Disease in Traditional Chinese Medicine,Research Development Assisted Diagnosis Treatment System Renowned Effective Solutions Aiding Cultivation Inheritance Care,western allopathic surgery drug cancer diabetes stroke infection symptoms causes prevention manual human robotics finance marketing free cost jobs online course book,1
